"Localidade";"Ano";"Posição Geográfica - Altitude (m)";"Posição Geográfica - Latitude (texto)";"Posição Geográfica - Longitude (texto)"
"São Miguel do Araguaia";"2014";"328,85";"";""
"São Miguel do Passa Quatro";"2009";"801";"17º 03’ 31” ";"48º 39’ 46” "
"São Miguel do Passa Quatro";"2014";"853,7";"";""
"São Patrício";"2009";"560";"15º 21’ 01” ";"49º 49’ 04” "
"São Patrício";"2014";"575,08";"";""
"São Simão";"2009";"367";"18º 59’ 28” ";"50º 32’ 37” "
"São Simão";"2014";"484,65";"";""
"Senador Canedo";"2009";"801";"16º 42’ 29” ";"49º 05’ 35” "
"Senador Canedo";"2014";"783,82";"";""
"Serranópolis";"2009";"742";"18º 18’ 22” ";"51º 57’ 44” "
"Serranópolis";"2014";"741,9";"";""
"Silvânia";"2009";"898";"16º 39’ 32” ";"48º 36’ 29” "
"Silvânia";"2014";"920,08";"";""
"Simolândia";"2009";"500";"14º 28’ 25” ";"46º 29’ 00” "
"Simolândia";"2014";"515,58";"";""
"Sítio d'Abadia";"2009";"748";"14º 48’ 19” ";"46º 15’ 11” "
"Sítio d'Abadia";"2014";"764,74";"";""
"Taquaral de Goiás";"2009";"769";"16º 03’ 15” ";"49º 36’ 21” "
"Taquaral de Goiás";"2014";"753,14";"";""
"Teresina de Goiás";"2009";"754";"13º 46’ 35” ";"47º 15’ 53” "
"Teresina de Goiás";"2014";"748,07";"";""
"Terezópolis de Goiás";"2009";"800";"16º 23’ 41” ";"49º 04’ 47” "
"Terezópolis de Goiás";"2014";"791,15";"";""
"Três Ranchos";"2009";"687";"18º 21’ 14” ";"47º 46’ 57” "
"Três Ranchos";"2014";"705,6";"";""
"Trindade";"2009";"756";"16º 38’ 58” ";"49º 29’ 20” "
"Trindade";"2014";"765,45";"";""
"Trombas";"2009";"355";"13º 30’ 31” ";"48º 44’ 24” "
"Trombas";"2014";"391,88";"";""
"Turvânia";"2009";"659";"16º 36’ 52” ";"50º 08’ 03” "
"Turvânia";"2014";"634,89";"";""
"Turvelândia";"2009";"459";"17º 51’ 10” ";"50º 18’ 08” "
"Turvelândia";"2014";"485,22";"";""
"Uirapuru";"2009";"400";"14º 17’ 06” ";"49º 55’ 18” "
"Uirapuru";"2014";"359,6";"";""
"Uruaçu";"2009";"520";"14º 31’ 29” ";"49º 08’ 27” "
"Uruaçu";"2014";"515,39";"";""
"Uruana";"2009";"586";"15º 29’ 53” ";"49º 41’ 15” "
"Uruana";"2014";"576,54";"";""
"Urutaí";"2009";"807";"17º 27’ 49” ";"48º 12’ 06” "
"Urutaí";"2014";"813,84";"";""
"Valparaíso de Goiás";"2009";"1.080";"16º 03’ 57” ";"47º 58’ 43” "
"Valparaíso de Goiás";"2014";"1105,85";"";""
"Varjão";"2009";"609";"17º 02’ 43” ";"49º 37’ 52” "
"Varjão";"2014";"596,47";"";""
"Vianópolis";"2009";"1.002";"16º 44’ 31” ";"48º 30’ 59” "
"Vianópolis";"2014";"1003,09";"";""
"Vicentinópolis";"2009";"646";"17º 44’ 06” ";"49º 48’ 18” "
"Vicentinópolis";"2014";"654,7";"";""
"Vila Boa";"2009";"500";"15º 02’ 18” ";"47º 03’ 34” "
"Vila Boa";"2014";"503,02";"";""
"Vila Propício";"2009";"744";"15º 27’ 25” ";"48º 53’ 19” "
"Vila Propício";"2014";"733,88";"";""
